BLOCKID|DISTRICT
440010301001000|066
440010301001001|066
440010301001002|066
440010301001003|066
440010301001004|066
440010301001005|066
440010301001006|066
440010301001007|066
440010301001008|066
440010301001009|066
440010301001010|066
440010301001011|066
440010301001012|066
440010301001013|066
440010301001014|066
440010301001015|066
440010301001016|066
440010301001017|066
440010301001018|066
440010301001019|066
440010301001020|066
440010301001021|066
440010301001022|066
440010301001023|066
440010301001024|066
440010301001025|066
440010301001026|066
440010301001027|066
440010301001028|066
440010301001029|066
440010301001030|066
440010301001031|066
440010301001032|066
440010301001033|066
440010301001034|066
440010301001035|066
440010301001036|066
440010301001037|066
440010301001038|066
440010301001039|066
440010301001040|066
440010301001041|066
440010301002000|066
440010301002001|066
440010301002002|066
440010301002003|066
440010301002004|066
440010301002005|066
440010301002006|066
440010301002007|066
440010301002008|066
440010301002009|066
440010301002010|066
440010301002011|066
440010301002012|066
440010301002013|066
440010301002014|066
440010301002015|066
440010301002016|066
440010301002017|066
440010301002018|066
440010301002019|066
440010301002020|066
440010301002021|066
440010301002022|066
440010301002023|066
440010301002024|066
440010301002025|066
440010301002026|066
440010301003000|066
440010301003001|066
440010301003002|066
440010301003003|066
440010301003004|066
440010301003005|066
440010301003006|066
440010301003007|066
440010301003008|066
440010301003009|066
440010301003010|066
440010301003011|066
440010301003012|066
440010301003013|066
440010301003014|066
440010301003015|066
440010301003016|066
440010301003017|066
440010301003018|066
440010301003019|066
440010301003020|066
440010301003021|066
440010301003022|066
440010301003023|066
440010301003024|066
440010301003025|066
440010301003026|066
440010301003027|066
440010301003028|066
440010301003029|066
440010301003030|066
440010301003031|066
440010301003032|066
440010301003033|066
440010301003034|066
440010301003035|066
440010301003036|066
440010301003037|066
440010301003038|066
440010301003039|066
440010301003040|066
440010301003041|066
440010301003042|066
440010301004000|066
440010301004001|066
440010301004002|066
440010301004003|066
440010301004004|066
440010301004005|066
440010301004006|066
440010301004007|066
440010301004008|066
440010301004009|066
440010301004010|066
440010301004011|066
440010301004012|066
440010301004013|066
440010301004014|066
440010301004015|066
440010301004016|066
440010301004017|066
440010301004018|066
440010301004019|066
440010301004020|066
440010301004021|066
440010301004022|066
440010301004023|066
440010301004024|066
440010301004025|066
440010301004026|066
440010301004027|066
440010301004028|066
440010301004029|066
440010301004030|066
440010301004031|066
440010301004032|066
440010301004033|066
440010302001000|067
440010302001001|066
440010302001002|066
440010302001003|066
440010302001004|066
440010302001005|066
440010302001006|066
440010302001007|066
440010302001008|066
440010302001009|066
440010302001010|066
440010302001011|066
440010302001012|066
440010302001013|066
440010302001014|066
440010302001015|066
440010302001016|066
440010302001017|066
440010302001018|066
440010302001019|066
440010302001020|066
440010302001021|066
440010302001022|066
440010302001023|066
440010302001024|066
440010302001025|066
440010302001026|066
440010302001027|066
440010302001028|066
440010302001029|066
440010302001030|066
440010302001031|066
440010302001032|066
440010302001033|066
440010302001034|066
440010302001035|066
440010302001036|066
440010302002000|066
440010302002001|066
440010302002002|066
440010302002003|066
440010302002004|066
440010302002005|066
440010302002006|066
440010302002007|066
440010302002008|066
440010302002009|066
440010302002010|066
440010302002011|066
440010302002012|066
440010302002013|066
440010302002014|066
440010302002015|066
440010302002016|067
440010302002017|066
440010302002018|066
440010302002019|066
440010302002020|067
440010302002021|066
440010302002022|066
440010302002023|066
440010302002024|066
440010302002025|066
440010302002026|066
440010302002027|066
440010302002028|066
440010302003000|067
440010302003001|067
440010302003002|067
440010302003003|067
